212:Date,Filter,Position,Lidar,Sonar
181:,False,-98.57142857142858,53.23377358490567,54.4336,
181:,False,-102.85714285714286,56.22679408138101,55.480399999999996,
181:,False,-107.14285714285715,55.06272727272728,54.4336,
181:,False,-111.42857142857143,56.22679408138101,54.4336,
181:,False,-115.71428571428571,54.2551497005988,55.480399999999996,
693:,False,-120.00000000000001,55.80647058823529,55.480399999999996,
693:,False,-124.28571428571429,55.639779951100245,55.480399999999996,
693:,False,-128.57142857142858,57.2570337922403,55.480399999999996,
693:,False,-132.85714285714286,51.64841196777906,54.4336,
693:,False,-137.14285714285714,56.22679408138101,55.480399999999996,
188:,False,-141.42857142857142,52.77285714285714,55.480399999999996,
188:,False,-145.71428571428572,53.779821640903684,54.4336,
188:,False,-150.0,52.62065420560747,54.4336,
189:,False,-154.28571428571428,53.544691943127965,54.4336,
189:,False,-158.57142857142858,56.566802973977694,54.4336,
684:,False,-162.85714285714286,55.80647058823529,55.480399999999996,
684:,False,-167.14285714285714,56.311481481481486,55.480399999999996,
684:,False,-171.42857142857144,54.98108958837772,54.4336,
685:,False,-175.71428571428572,55.22659781287971,55.480399999999996,
685:,False,-180.0,54.899649334945586,54.4336,
196:,False,-184.2857142857143,54.2551497005988,55.480399999999996,
196:,False,-188.57142857142858,54.01663484486874,55.480399999999996,
196:,False,-192.85714285714286,54.899649334945586,55.480399999999996,
196:,False,-197.14285714285717,54.73735826296744,54.4336,
197:,False,-201.42857142857144,52.849226260257915,55.480399999999996,
692:,False,-205.71428571428572,55.72302325581395,55.480399999999996,
692:,False,-210.00000000000003,53.23377358490567,55.480399999999996,
692:,False,-214.2857142857143,54.495384615384616,55.480399999999996,
692:,False,-218.57142857142858,53.70125890736342,55.480399999999996,
692:,False,-222.85714285714286,52.92577464788733,55.480399999999996,
189:,False,-227.14285714285714,56.05804428044281,55.480399999999996,
189:,False,-231.42857142857142,55.55673992673993,54.4336,
189:,False,-235.71428571428572,54.98108958837772,54.4336,
189:,False,-240.00000000000003,53.00250293772033,54.4336,
189:,False,-244.28571428571428,54.818405797101455,54.4336,
701:,False,-248.57142857142858,55.639779951100245,54.4336,
702:,False,-252.8571428571429,51.79608996539793,55.480399999999996,
702:,False,-257.14285714285717,53.93750893921335,54.4336,
702:,False,-261.42857142857144,55.47390243902439,55.480399999999996,
702:,False,-265.7142857142857,53.31122786304605,55.480399999999996,
197:,False,-270.0,55.06272727272728,55.480399999999996,
197:,False,-265.7142857142857,54.899649334945586,55.480399999999996,
197:,False,-261.42857142857144,53.85857142857143,55.480399999999996,
198:,False,-257.14285714285717,55.97398034398035,54.4336,
198:,False,-252.8571428571429,54.17545454545455,55.480399999999996,
695:,False,-248.57142857142858,53.70125890736342,55.480399999999996,
695:,False,-244.28571428571428,54.73735826296744,54.4336,
695:,False,-240.00000000000003,54.415114045618246,55.480399999999996,
695:,False,-235.71428571428572,54.73735826296744,55.480399999999996,
695:,False,-231.42857142857142,54.17545454545455,54.4336,
207:,False,-227.14285714285714,53.70125890736342,55.480399999999996,
207:,False,-222.85714285714286,55.55673992673993,54.4336,
207:,False,-218.57142857142858,54.095949820788526,54.4336,
207:,False,-214.2857142857143,54.98108958837772,55.480399999999996,
207:,False,-210.00000000000003,54.17545454545455,54.4336,
703:,False,-205.71428571428572,54.415114045618246,54.4336,
703:,False,-201.42857142857144,52.696666666666665,55.480399999999996,
703:,False,-197.14285714285717,54.17545454545455,55.480399999999996,
703:,False,-192.85714285714286,55.8901226993865,54.4336,
703:,False,-188.57142857142858,53.388865248226956,55.480399999999996,
200:,False,-184.2857142857143,55.39126674786845,54.4336,
200:,False,-180.0,55.14456310679612,55.480399999999996,
201:,False,-175.71428571428572,54.33503597122303,55.480399999999996,
201:,False,-171.42857142857144,53.388865248226956,55.480399999999996,
201:,False,-167.14285714285714,54.2551497005988,55.480399999999996,
710:,False,-162.85714285714286,56.39637824474661,55.480399999999996,
711:,False,-158.57142857142858,53.93750893921335,55.480399999999996,
711:,False,-154.28571428571428,54.095949820788526,54.4336,
